x rho u p ie
0.6212500000000001 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.62375 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.62625 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.62875 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.6312500000000001 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.63375 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.63625 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.63875 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.64125 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.64375 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.64625 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.6487499999999999 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.65125 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.65375 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.65625 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.65875 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.66125 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.6637500000000001 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.66625 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.66875 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.67125 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.6737500000000001 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.67625 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.67875 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.68125 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.6837500000000001 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.68625 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.68875 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.69125 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.6937500000000001 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.69625 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.69875 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.70125 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.70375 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.70625 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.70875 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.7112499999999999 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.71375 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.71625 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.71875 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.72125 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.72375 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.7262500000000001 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.72875 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.73125 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.73375 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.7362500000000001 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.73875 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.74125 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.74375 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.7462500000000001 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.74875 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.75125 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.75375 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.7562500000000001 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.75875 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.76125 0.2655737117053071 0.9274526200489499 0.30313017805064685 2.8535408879909605
0.76375 0.125 0.0 0.1 2.0000000000000004
0.7662500000000001 0.125 0.0 0.1 2.0000000000000004
0.76875 0.125 0.0 0.1 2.0000000000000004
0.77125 0.125 0.0 0.1 2.0000000000000004
0.7737499999999999 0.125 0.0 0.1 2.0000000000000004
0.77625 0.125 0.0 0.1 2.0000000000000004
0.77875 0.125 0.0 0.1 2.0000000000000004
0.78125 0.125 0.0 0.1 2.0000000000000004
0.78375 0.125 0.0 0.1 2.0000000000000004
0.78625 0.125 0.0 0.1 2.0000000000000004
0.7887500000000001 0.125 0.0 0.1 2.0000000000000004
0.79125 0.125 0.0 0.1 2.0000000000000004
0.79375 0.125 0.0 0.1 2.0000000000000004
0.79625 0.125 0.0 0.1 2.0000000000000004
0.7987500000000001 0.125 0.0 0.1 2.0000000000000004
0.80125 0.125 0.0 0.1 2.0000000000000004
0.80375 0.125 0.0 0.1 2.0000000000000004
0.80625 0.125 0.0 0.1 2.0000000000000004
0.8087500000000001 0.125 0.0 0.1 2.0000000000000004
0.81125 0.125 0.0 0.1 2.0000000000000004
0.81375 0.125 0.0 0.1 2.0000000000000004
0.81625 0.125 0.0 0.1 2.0000000000000004
0.8187500000000001 0.125 0.0 0.1 2.0000000000000004
0.82125 0.125 0.0 0.1 2.0000000000000004
0.82375 0.125 0.0 0.1 2.0000000000000004
0.82625 0.125 0.0 0.1 2.0000000000000004
0.8287500000000001 0.125 0.0 0.1 2.0000000000000004
0.83125 0.125 0.0 0.1 2.0000000000000004
0.83375 0.125 0.0 0.1 2.0000000000000004
0.8362499999999999 0.125 0.0 0.1 2.0000000000000004
0.83875 0.125 0.0 0.1 2.0000000000000004
